syn_id,pre_id,post_id,prop
1,145,187,1.0
2,145,179,0.6634214186369958
2,145,182,0.3045897079276773
2,145,186,0.031988873435326845
6,145,187,0.23613963039014374
6,145,189,0.7638603696098563
10,219,205,0.7929125138427464
10,219,213,0.2070874861572536
12,182,153,1.0
13,145,186,0.292806484295846
13,145,188,0.707193515704154
16,145,179,0.9480381760339343
16,145,186,0.051961823966065745
24,145,182,1.0
25,183,109,1.0
30,145,183,1.0
32,183,109,0.6943396226415094
32,183,164,0.30566037735849055
33,182,145,1.0
41,145,178,0.4764044943820225
41,145,187,0.5235955056179775
44,145,2,0.03756708407871199
44,145,154,0.962432915921288
45,145,187,0.49943246311010214
45,145,189,0.5005675368898979
51,145,178,0.30635245901639346
51,145,187,0.6936475409836066
52,145,178,0.9837662337662337
52,145,187,0.016233766233766232
53,165,127,0.36749482401656314
53,165,134,0.5134575569358178
53,165,135,0.06314699792960662
53,165,163,0.055900621118012424
56,182,145,0.4775051124744376
56,182,164,0.5224948875255624
59,165,163,0.6324689966178129
59,165,173,0.36753100338218714
61,145,164,0.0851305334846765
61,145,180,0.04880817253121453
61,145,188,0.3530079455164586
61,145,191,0.5130533484676504
63,184,162,0.28
63,184,164,0.72
64,182,145,0.6092783505154639
64,182,164,0.3907216494845361
65,145,179,0.15267947421638017
65,145,180,0.05864509605662285
65,145,186,0.788675429726997
67,191,164,1.0
68,165,173,1.0
70,165,134,0.18772136953955135
70,165,135,0.021251475796930343
70,165,173,0.7910271546635183
71,145,163,0.14585635359116023
71,145,183,0.8541436464088398
72,165,127,0.3566958698372966
72,165,134,0.6007509386733417
72,165,173,0.0425531914893617
73,165,127,0.1603875134553283
73,165,133,0.6361679224973089
73,165,173,0.20344456404736275
82,184,164,1.0
83,145,163,0.48775510204081635
83,145,183,0.5122448979591837
84,165,173,1.0
85,182,145,0.714
85,182,164,0.286
89,184,162,1.0
92,182,153,0.5054021608643458
92,182,165,0.49459783913565425
95,165,173,1.0
96,165,173,1.0
98,185,163,1.0
99,173,127,0.7590233545647559
99,173,133,0.24097664543524416
104,184,127,0.27626459143968873
104,184,163,0.3164721141374838
104,184,182,0.4072632944228275
106,165,243,1.0
111,165,173,1.0
112,165,172,0.11696522655426765
112,165,173,0.8830347734457323
113,165,173,1.0
114,165,173,0.9888551165146909
114,165,243,0.011144883485309016
117,145,100,0.09352517985611511
117,145,163,0.011305241521068859
117,145,182,0.895169578622816
118,184,162,0.2603938730853392
118,184,173,0.2210065645514223
118,184,174,0.5185995623632386
119,145,164,0.5635635635635635
119,145,182,0.4364364364364364
120,165,164,0.020554984583761562
120,165,184,0.17677286742034942
120,165,242,0.0328879753340185
120,165,243,0.7697841726618705
121,165,173,1.0
122,165,127,0.07120085015940489
122,165,133,0.410201912858661
122,165,173,0.25717321997874604
122,165,184,0.015940488841657812
122,165,243,0.2454835281615303
123,191,172,0.4844844844844845
123,191,175,0.4574574574574575
123,191,185,0.05805805805805806
124,181,163,1.0
126,173,127,0.4431314623338257
126,173,130,0.029542097488921712
126,173,133,0.5273264401772526
130,201,164,0.580952380952381
130,201,175,0.16428571428571428
130,201,191,0.25476190476190474
131,199,164,0.08877551020408163
131,199,174,0.7275510204081632
131,199,180,0.05918367346938776
131,199,191,0.12448979591836734
132,173,135,0.22204213938411668
132,173,165,0.7779578606158833
135,173,139,0.96996996996997
135,173,172,0.03003003003003003
136,181,163,1.0
138,162,164,0.8048289738430584
138,162,182,0.19517102615694165
142,201,175,0.4635416666666667
142,201,181,0.33645833333333336
142,201,191,0.2
143,191,1,0.030871003307607496
143,191,145,0.03638368246968027
143,191,179,0.9327453142227122
147,181,163,0.9825282631038027
147,181,185,0.017471736896197326
148,173,127,0.11927582534611289
148,173,184,0.8807241746538871
150,181,163,0.8806941431670282
150,181,183,0.1193058568329718
151,185,136,0.03203203203203203
151,185,162,0.9679679679679679
152,182,153,0.7853982300884956
152,182,184,0.21460176991150443
153,145,163,0.03842264914054601
